2018/04/01;Westchester;36.059633027522935;Queens;37.87960954446854;Staten Island;23.223032069970845;Rockland County;29.875;Brooklyn;36.62746305418719;Manhattan;35.0390134529148;All Boroughs;53.0;Bronx;26.226982680036464;New Jersey;42.43181818181818;Nassau County;32.867924528301884
2018/04/01;Queens;36.285714285714285;Westchester;32.958333333333336;Staten Island;26.7;Rockland County;36.333333333333336;Connecticut;7.5;Brooklyn;33.62107623318386;Manhattan;36.52477064220184;Bronx;22.69685039370079;New Jersey;40.8125;Nassau County;33.945945945945944
2018/05/01;Queens;35.74038461538461;Westchester;37.407407407407405;Staten Island;23.79245283018868;Rockland County;36.75;Connecticut;38.0;Brooklyn;34.939549180327866;Manhattan;34.84090909090909;Bronx;26.75611888111888;New Jersey;37.2;Nassau County;36.625
2018/05/01;Queens;39.324339839265214;Westchester;33.59308510638298;Staten Island;23.74022346368715;Rockland County;39.28260869565217;Connecticut;47.0;Brooklyn;40.74109792284867;Manhattan;34.90632530120482;Bronx;35.47860289490245;New Jersey;50.19767441860465;Nassau County;41.47572815533981
2018/06/01;Queens;37.40973630831643;Westchester;35.978873239436616;Staten Island;23.812841530054644;Rockland County;32.130434782608695;Connecticut;53.0;Brooklyn;41.079352850539294;Manhattan;35.42462039045553;Bronx;37.50485436893204;New Jersey;47.15;Nassau County;34.880434782608695
2018/06/01;Queens;36.79090909090909;Westchester;36.357142857142854;Staten Island;27.933333333333334;Rockland County;35.857142857142854;Brooklyn;34.15277777777778;Manhattan;33.92191780821918;Bronx;33.08108108108108;New Jersey;54.5;Nassau County;34.53846153846154
2018/09/01;Queens;32.889763779527556;Westchester;36.54545454545455;Staten Island;32.54545454545455;Rockland County;24.25;Brooklyn;36.81454545454545;Manhattan;42.68023255813954;Bronx;30.505524861878452;New Jersey;33.0;Nassau County;60.5
2018/09/01;Queens;34.015697674418604;Westchester;31.0;Staten Island;29.50140056022409;Rockland County;31.076923076923077;Connecticut;17.833333333333332;Brooklyn;36.05987170349252;Manhattan;37.79484777517565;All Boroughs;22.28125;Bronx;30.135397692774742;New Jersey;35.2;Nassau County;37.37640449438202
2018/10/01;Queens;38.49149214659686;Westchester;30.995098039215687;Staten Island;28.43661971830986;Rockland County;49.785714285714285;Connecticut;28.214285714285715;Brooklyn;37.99917127071823;Manhattan;39.50756736803248;All Boroughs;11.375;Bronx;33.7107904642409;New Jersey;35.666666666666664;Nassau County;37.389830508474574
2018/10/01;Queens;47.03806228373703;Westchester;51.80769230769231;Staten Island;27.933333333333334;Rockland County;42.285714285714285;Connecticut;30.5;Brooklyn;35.21006564551422;Manhattan;43.23139797068771;Bronx;30.895539906103288;New Jersey;47.375;Nassau County;51.316326530612244
