2017/01/10;05:00-11:59;[Heavy Traffic, Won`t Start, Other];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/11;05:00-11:59;[Heavy Traffic, Won`t Start, Mechanical Problem];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/12;05:00-11:59;[Heavy Traffic, Flat Tire];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/17;05:00-11:59;[Heavy Traffic, Other, Won`t Start];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/13;05:00-11:59;[Mechanical Problem, Other];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/18;05:00-11:59;[Mechanical Problem, Won`t Start, Heavy Traffic];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/19;05:00-11:59;[Heavy Traffic];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/20;05:00-11:59;[Heavy Traffic, Won`t Start, Mechanical Problem];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/23;05:00-11:59;[Heavy Traffic, Mechanical Problem, Other];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/24;05:00-11:59;[Weather Conditions, Heavy Traffic, Flat Tire];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/25;05:00-11:59;[Heavy Traffic, Won`t Start, Mechanical Problem];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/26;05:00-11:59;[Flat Tire];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/30;05:00-11:59;[Heavy Traffic, Mechanical Problem];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/01/27;05:00-11:59;[Heavy Traffic, Mechanical Problem];12:00-19:00;[Heavy Traffic, Other, Won`t Start]
2017/01/31;05:00-11:59;[Flat Tire, Mechanical Problem];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/02/01;05:00-11:59;[Won`t Start, Heavy Traffic, Problem Run];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/02/02;05:00-11:59;[Heavy Traffic];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/02/03;05:00-11:59;[Won`t Start, Mechanical Problem];12:00-19:00;[Heavy Traffic, Mechanical Problem, Other]
2017/02/06;05:00-11:59;[Heavy Traffic, Mechanical Problem, Flat Tire];12:00-19:00;[Heavy Traffic, Mechanical Problem, Other]
2017/02/07;05:00-11:59;[Won`t Start, Heavy Traffic, Flat Tire];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/02/08;05:00-11:59;[Mechanical Problem, Heavy Traffic, Flat Tire];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/02/10;05:00-11:59;[Weather Conditions, Heavy Traffic, Mechanical Problem];12:00-19:00;[Weather Conditions, Heavy Traffic, Other]
2017/02/14;05:00-11:59;[Won`t Start, Heavy Traffic];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/02/15;05:00-11:59;[Heavy Traffic, Flat Tire, Won`t Start];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/02/13;05:00-11:59;[Heavy Traffic, Mechanical Problem, Won`t Start];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
2017/02/16;05:00-11:59;[Heavy Traffic, Won`t Start, Mechanical Problem];12:00-19:00;[Heavy Traffic, Other, Mechanical Problem]
