1441085340000;Westchester;25.0;Brooklyn;45.0;Manhattan;15.0;Bronx;30.0
1441253280000;Westchester;22.5;Queens;20.0;Rockland County;15.0;Manhattan;20.0;Brooklyn;15.0;Bronx;22.5;Nassau County;20.0
1441167720000;Queens;18.333333333333332;Westchester;16.666666666666668;Rockland County;20.0;Brooklyn;34.285714285714285;Manhattan;20.0;Nassau County;27.142857142857142
1441340640000;Westchester;23.333333333333332;Queens;20.0;Rockland County;15.0;Brooklyn;27.5;Manhattan;15.0
